model,score_val,eval_metric,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
CatBoost_r50_BAG_L1,0.7112264763140818,accuracy,0.06646347045898438,18.701905250549316,0.06646347045898438,18.701905250549316,1,True,31
NeuralNetTorch_r185_BAG_L1,0.7112264763140818,accuracy,0.31056642532348633,315.5952944755554,0.31056642532348633,315.5952944755554,1,True,76
ExtraTrees_r178_BAG_L1,0.7110966904607398,accuracy,0.2806363105773926,1.0236117839813232,0.2806363105773926,1.0236117839813232,1,True,73
CatBoost_r69_BAG_L1,0.7108371187540559,accuracy,0.033715009689331055,21.384870529174805,0.033715009689331055,21.384870529174805,1,True,35
XGBoost_r89_BAG_L1,0.7104477611940299,accuracy,0.042798757553100586,10.085057497024536,0.042798757553100586,10.085057497024536,1,True,27
NeuralNetTorch_r79_BAG_L1,0.7103179753406879,accuracy,0.30974721908569336,340.62676548957825,0.30974721908569336,340.62676548957825,1,True,13
LightGBM_r130_BAG_L1,0.7101881894873459,accuracy,1.6996257305145264,20.7822048664093,1.6996257305145264,20.7822048664093,1,True,29
NeuralNetTorch_r89_BAG_L1,0.70979883192732,accuracy,0.30267834663391113,605.4102067947388,0.30267834663391113,605.4102067947388,1,True,108
CatBoost_r49_BAG_L1,0.709669046073978,accuracy,0.030534029006958008,19.780104875564575,0.030534029006958008,19.780104875564575,1,True,53
ExtraTrees_r172_BAG_L1,0.709539260220636,accuracy,0.2810251712799072,0.7939565181732178,0.2810251712799072,0.7939565181732178,1,True,34
NeuralNetTorch_r22_BAG_L1,0.709409474367294,accuracy,0.3119223117828369,309.35447359085083,0.3119223117828369,309.35447359085083,1,True,18
LightGBM_r94_BAG_L1,0.709020116807268,accuracy,2.2030839920043945,14.122940063476562,2.2030839920043945,14.122940063476562,1,True,59
LightGBM_r131_BAG_L1,0.709020116807268,accuracy,2.3572990894317627,20.199999570846558,2.3572990894317627,20.199999570846558,1,True,14
CatBoost_r5_BAG_L1,0.7088903309539261,accuracy,0.030640125274658203,21.493505477905273,0.030640125274658203,21.493505477905273,1,True,69
